,product_id,path,type,position,created_at_x,updated_at_x,upc,name,slug,description,is_promotion,is_visible,created_at_y,updated_at_y,drophub,attributes
679,153,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6N37ENPS2QEW57C9P6HRY6P.webp,thumbnail,1,2025-10-03 16:42:21,2025-10-03 16:42:21,,Pollar shirt F(cream),68dfcab602850,"جنس:پولار
رنگ:کرم
فری سایز(عرض سینه64/قد73)

قد173 و سایز38",0,1,2025-10-03 16:38:06,2025-10-04 23:38:32,,
680,153,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6N38DZMCAX304KZFC65TWN7.webp,image,1,2025-10-03 16:42:53,2025-10-03 16:42:53,,Pollar shirt F(cream),68dfcab602850,"جنس:پولار
رنگ:کرم
فری سایز(عرض سینه64/قد73)

قد173 و سایز38",0,1,2025-10-03 16:38:06,2025-10-04 23:38:32,,
681,153,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6N39NSQK973PF0VP0RN6HTR.webp,image,1,2025-10-03 16:43:34,2025-10-03 16:43:34,,Pollar shirt F(cream),68dfcab602850,"جنس:پولار
رنگ:کرم
فری سایز(عرض سینه64/قد73)

قد173 و سایز38",0,1,2025-10-03 16:38:06,2025-10-04 23:38:32,,
682,154,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NF3HDA593MJ2N7KKVAME14.webp,thumbnail,1,2025-10-03 20:09:56,2025-10-03 20:09:56,,Pollar shirt F(navy),68dffc24b54ce,"جنس:پولار
رنگ:سرمه ای
فری سایز(عرض سینه64/قد73)

قد173 و سایز38",0,1,2025-10-03 20:09:00,2025-10-04 23:39:15,,
683,154,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NF40XX50W7RPRXK4AY7DVY.webp,image,1,2025-10-03 20:10:12,2025-10-03 20:10:12,,Pollar shirt F(navy),68dffc24b54ce,"جنس:پولار
رنگ:سرمه ای
فری سایز(عرض سینه64/قد73)

قد173 و سایز38",0,1,2025-10-03 20:09:00,2025-10-04 23:39:15,,
684,154,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NF4RFXA36SYCC1M3T29K2J.webp,image,1,2025-10-03 20:10:36,2025-10-03 20:10:36,,Pollar shirt F(navy),68dffc24b54ce,"جنس:پولار
رنگ:سرمه ای
فری سایز(عرض سینه64/قد73)

قد173 و سایز38",0,1,2025-10-03 20:09:00,2025-10-04 23:39:15,,
685,154,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NF58A9V6K2FE2MBB9AAHE4.webp,image,1,2025-10-03 20:10:52,2025-10-03 20:10:52,,Pollar shirt F(navy),68dffc24b54ce,"جنس:پولار
رنگ:سرمه ای
فری سایز(عرض سینه64/قد73)

قد173 و سایز38",0,1,2025-10-03 20:09:00,2025-10-04 23:39:15,,
686,155,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NFCC48AM7Z3QATY1VPTTTK.webp,thumbnail,1,2025-10-03 20:14:45,2025-10-03 20:14:45,,Pollar shirt F(green),68dffd18c05a3,"جنس:پولار
رنگ:سبز
فری سایز(عرض سینه64/قد73)

قد173 و سایز38",0,1,2025-10-03 20:13:04,2025-10-04 23:38:05,,
687,155,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NFCQN153RZPVD9AWHRT3G8.webp,image,1,2025-10-03 20:14:57,2025-10-03 20:14:57,,Pollar shirt F(green),68dffd18c05a3,"جنس:پولار
رنگ:سبز
فری سایز(عرض سینه64/قد73)

قد173 و سایز38",0,1,2025-10-03 20:13:04,2025-10-04 23:38:05,,
688,155,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NFD1R514RF9X3578MY2KWF.webp,image,1,2025-10-03 20:15:08,2025-10-03 20:15:08,,Pollar shirt F(green),68dffd18c05a3,"جنس:پولار
رنگ:سبز
فری سایز(عرض سینه64/قد73)

قد173 و سایز38",0,1,2025-10-03 20:13:04,2025-10-04 23:38:05,,
689,156,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NFGHAMA8Y5T6B0TTWA2ZAH.webp,thumbnail,1,2025-10-03 20:17:02,2025-10-03 20:17:02,,Pollar shirt F(black),68dffdcf6b734,"جنس:پولار
رنگ:مشکی
فری سایز(عرض سینه64/قد73)

قد173 و سایز38",0,1,2025-10-03 20:16:07,2025-10-04 23:39:37,,
690,156,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NFGWDXH2V0WEPN9Y71R4NM.webp,image,1,2025-10-03 20:17:13,2025-10-03 20:17:13,,Pollar shirt F(black),68dffdcf6b734,"جنس:پولار
رنگ:مشکی
فری سایز(عرض سینه64/قد73)

قد173 و سایز38",0,1,2025-10-03 20:16:07,2025-10-04 23:39:37,,
691,156,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NFH8BA6BQWZ6N28ZEJQ3DW.webp,image,1,2025-10-03 20:17:25,2025-10-03 20:17:25,,Pollar shirt F(black),68dffdcf6b734,"جنس:پولار
رنگ:مشکی
فری سایز(عرض سینه64/قد73)

قد173 و سایز38",0,1,2025-10-03 20:16:07,2025-10-04 23:39:37,,
692,156,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NFHTV0YEB78KMNY11CJV91.webp,image,1,2025-10-03 20:17:44,2025-10-03 20:17:44,,Pollar shirt F(black),68dffdcf6b734,"جنس:پولار
رنگ:مشکی
فری سایز(عرض سینه64/قد73)

قد173 و سایز38",0,1,2025-10-03 20:16:07,2025-10-04 23:39:37,,
