id,variant_attribute_id,name,category,value
100021,2,7,,7
100023,2,8,,8
100025,2,9,,9
100027,2,10,,10
100029,2,11,,11
100031,2,12,,12
100032,2,13,,13
100033,2,14,,14
100036,2,16,,16
100040,2,18,,18
100042,2,19,,19
100044,2,20,,20
100047,2,22,,22
100049,2,23,,23
100051,2,24,,24
100053,2,25,,25
100055,2,26,,26
100057,2,27,,27
100059,2,28,,28
100061,2,29,,29
100063,2,30,,30
100065,2,31,,31
100067,2,32,,32
100069,2,33,,33
100071,2,34,,34
100073,2,35,,35
100075,2,36,,36
100077,2,37,,37
100079,2,38,,38
100081,2,39,,39
100083,2,40,,40
100085,2,41,,41
100087,2,42,,42
100089,2,43,,43
100091,2,44,,44
100093,2,45,,45
100095,2,46,,46
100099,2,48,,48
100103,2,50,,50
100107,2,52,,52
100110,2,54,,54
100111,2,55,,55
100112,2,56,,56
100114,2,58,,58
100116,2,60,,60
100117,2,62,,62
100119,2,64,,64
100120,2,65,,65
100121,2,66,,66
100123,2,68,,68
100125,2,70,,70
100128,2,75,,75
100131,2,80,,80
100132,2,85,,85
100134,2,90,,90
100136,2,95,,95
100138,2,100,,100
100140,2,105,,105
100141,2,110,,110
100147,2,130,,130
100152,2,146,,146
100154,2,152,,152
100171,2,XXS,,XXS
100172,2,XXL,,XXL
100173,2,XS,,XS
100174,2,XL,,XL
100175,2,S,,S
100176,2,M,,M
100177,2,L,,L
100179,2,8XL,,8XL
100181,2,7XL,,7XL
100183,2,6XL,,6XL
100185,2,5XL,,5XL
100186,2,4XS,,4XS
100187,2,4XL,,4XL
100188,2,3XS,,3XS
100189,2,3XL,,3XL
100193,2,XXL-3XL,,XXL-3XL
100194,2,XS-S,,XS-S
100196,2,XL-XXL,,XL-XXL
100199,2,S-M,,S-M
100200,2,S-L,,S-L
100201,2,M-XXL,,M-XXL
100202,2,M-XL,,M-XL
100204,2,M-L,,M-L
100205,2,L-XXL,,L-XXL
100206,2,L-XL,,L-XL
100207,2,L-3XL,,L-3XL
100221,2,W46/L34,,W46/L34
100222,2,W46/L32,,W46/L32
100223,2,W46/L30,,W46/L30
100224,2,W44/L36,,W44/L36
100225,2,W44/L34,,W44/L34
100226,2,W44/L33,,W44/L33
100227,2,W44/L32,,W44/L32
100228,2,W44/L30,,W44/L30
100229,2,W42/L34,,W42/L34
100231,2,W42/L32,,W42/L32
100232,2,W42/L30,,W42/L30
100233,2,W40/L34,,W40/L34
100234,2,W40/L33,,W40/L33
100235,2,W40/L32,,W40/L32
100236,2,W40/L30,,W40/L30
100239,2,W38/L34,,W38/L34
100242,2,W38/L32,,W38/L32
100244,2,W38/L30,,W38/L30
100245,2,W38/L28,,W38/L28
100247,2,W36/L34,,W36/L34
100250,2,W36/L32,,W36/L32
100252,2,W36/L30,,W36/L30
100259,2,W34/L36,,W34/L36
100260,2,W34/L34,,W34/L34
100262,2,W34/L33,,W34/L33
100263,2,W34/L32,,W34/L32
100265,2,W34/L30,,W34/L30
100268,2,W33/L34,,W33/L34
100271,2,W33/L32,,W33/L32
100273,2,W33/L30,,W33/L30
100275,2,W32/L36,,W32/L36
100276,2,W32/L34,,W32/L34
100278,2,W32/L32,,W32/L32
100280,2,W32/L30,,W32/L30
100282,2,W31/L34,,W31/L34
100285,2,W31/L32,,W31/L32
100287,2,W31/L30,,W31/L30
100288,2,W31/L28,,W31/L28
100289,2,W30/L34,,W30/L34
100291,2,W30/L32,,W30/L32
100293,2,W30/L30,,W30/L30
100294,2,W30/L29,,W30/L29
100295,2,W30/L28,,W30/L28
100296,2,W29/L34,,W29/L34
100297,2,W29/L32,,W29/L32
100298,2,W29/L30,,W29/L30
100299,2,W28/L34,,W28/L34
100300,2,W28/L32,,W28/L32
100301,2,W28/L30,,W28/L30
100302,2,W28/L28,,W28/L28
100303,2,W27/L34,,W27/L34
100304,2,W27/L32,,W27/L32
100305,2,W27/L30,,W27/L30
100306,2,W27/L28,,W27/L28
100307,2,W26/L34,,W26/L34
100308,2,W26/L32,,W26/L32
100309,2,W26/L30,,W26/L30
100310,2,W26/L28,,W26/L28
100311,2,W25/L34,,W25/L34
100312,2,W25/L32,,W25/L32
100313,2,W25/L30,,W25/L30
100314,2,W24/L32,,W24/L32
100315,2,W24/L30,,W24/L30
100361,2,0 تا 2 ماه,,0 تا 2 ماه
100511,2,36-48,,36-48
100512,2,38-52,,38-52
100513,2,40-54,,40-54
100514,2,42-52,,42-52
100515,2,42-54,,42-54
100516,2,42-56,,42-56
100517,2,42-58,,42-58
100520,2,44-48,,44-48
100521,2,50-52,,50-52
100522,2,48-54,,48-54
100523,2,52-54,,52-54
100524,2,52-56,,52-56
100525,2,40-58,,40-58
100526,2,40-60,,40-60
100527,2,42-60,,42-60
100528,2,56-62,,56-62
100529,2,60-62,,60-62
100530,2,58-64,,58-64
