id,name,description,price,is_active,created_at,updated_at,deleted_at
1,ارسال با تیپاکس,تحویل ۳-۶ روز - (پس کرایه),0,1,2023-12-11 00:17:46,2024-04-03 14:57:26,
2,ارسال با پیک (تهران),"هزینه توسط اسنپ محاسبه می‌شود - (پس کرایه)
محصولات آماده، بلافاصله ارسال می‌شوند.
در صورت عدم آماده بودن، ارسال طی 3 تا 6 روز کاری انجام خواهد شد.
پیش از ارسال، جهت هماهنگی با شما تماس گرفته می‌شود. 🙏🏽",0,1,2023-12-11 00:43:56,2025-03-16 20:27:39,
